date,complaint_id,customer_id,region,category,channel,volume,segment,week_of_year,month,quarter
2024-11-19,CP200196,C101288,South,Service,Branch,1,26-40,47,11,4
2024-09-12,CP200197,C106141,North,Service,Digital,1,18-25,37,9,3
2024-07-26,CP200198,C105817,West,Login,Branch,1,18-25,30,7,3
2024-04-10,CP200199,C105393,North,Fees,Digital,1,26-40,15,4,2
2024-06-27,CP200200,C105086,South,Card,Digital,1,41-55,26,6,2
2024-06-26,CP200201,C106031,East,Login,Digital,1,26-40,26,6,2
2024-09-07,CP200202,C104234,West,Login,Digital,1,18-25,36,9,3
2024-10-25,CP200203,C103469,East,Login,CallCenter,1,56+,43,10,4
2024-07-07,CP200204,C104845,South,Card,Branch,1,26-40,27,7,3
2024-09-18,CP200205,C104077,West,Fees,CallCenter,1,26-40,38,9,3
2024-01-24,CP200206,C103634,South,Login,Digital,1,26-40,4,1,1
2024-07-07,CP200207,C101435,South,Card,Digital,1,56+,27,7,3
2024-05-02,CP200208,C102195,West,Service,Digital,1,41-55,18,5,2
2024-01-20,CP200209,C103375,North,Login,Digital,1,26-40,3,1,1
2024-09-03,CP200210,C102585,East,Login,Branch,1,26-40,36,9,3
2024-11-26,CP200211,C102823,South,Login,Digital,1,56+,48,11,4
2024-05-02,CP200212,C104064,South,Login,CallCenter,1,18-25,18,5,2
2024-06-20,CP200213,C100195,South,Service,Branch,1,18-25,25,6,2
2024-12-27,CP200214,C104226,North,Fees,Branch,1,41-55,52,12,4
2024-07-11,CP200215,C102784,West,Login,Digital,1,18-25,28,7,3
2024-12-31,CP200216,C103264,North,Service,Digital,1,26-40,1,12,4
2024-05-17,CP200217,C100429,South,Login,Digital,1,41-55,20,5,2
2024-12-14,CP200218,C103228,East,Login,Digital,1,41-55,50,12,4
2024-07-26,CP200219,C103450,West,Fees,Digital,1,41-55,30,7,3
2024-05-28,CP200220,C104299,North,Login,Digital,1,41-55,22,5,2
2024-11-14,CP200221,C102372,North,Service,Digital,1,26-40,46,11,4
2024-02-15,CP200222,C100696,North,Login,Digital,1,41-55,7,2,1
2024-01-23,CP200223,C101176,South,Card,Digital,1,26-40,4,1,1
2024-06-06,CP200224,C104653,East,Fees,Branch,1,18-25,23,6,2
2024-05-12,CP200225,C106660,East,Card,Branch,1,26-40,19,5,2
2024-09-02,CP200226,C103801,South,Login,Digital,1,18-25,36,9,3
2024-03-01,CP200227,C106896,North,Fees,Digital,1,56+,9,3,1
2024-12-13,CP200228,C104273,North,Card,Digital,1,56+,50,12,4
2024-03-20,CP200229,C107819,East,Fees,Branch,1,26-40,12,3,1
2024-06-24,CP200230,C101775,North,Login,Digital,1,26-40,26,6,2
2024-09-29,CP200231,C103278,South,Fees,CallCenter,1,26-40,39,9,3
2024-07-16,CP200232,C106743,South,Service,Digital,1,18-25,29,7,3
2024-09-08,CP200233,C101968,North,Card,Digital,1,26-40,36,9,3
2024-12-04,CP200234,C107117,West,Fees,Digital,1,41-55,49,12,4
2024-12-03,CP200235,C104059,South,Service,Digital,1,41-55,49,12,4
2024-06-07,CP200236,C103678,South,Card,Branch,1,26-40,23,6,2
2024-08-19,CP200237,C104936,South,Card,Digital,1,26-40,34,8,3
2024-07-01,CP200238,C100684,South,Login,Digital,1,41-55,27,7,3
2024-04-30,CP200239,C105242,West,Service,Digital,1,26-40,18,4,2
2024-06-21,CP200240,C104445,North,Login,Branch,1,26-40,25,6,2
2024-01-12,CP200241,C102396,North,Service,Digital,1,26-40,2,1,1
2024-08-24,CP200242,C100017,East,Login,Digital,1,18-25,34,8,3
2024-05-18,CP200243,C100683,West,Card,Digital,1,26-40,20,5,2
2024-01-28,CP200244,C103591,South,Login,Digital,1,26-40,4,1,1
2024-05-30,CP200245,C101990,South,Card,CallCenter,1,18-25,22,5,2
2024-08-19,CP200246,C104417,North,Fees,Branch,1,18-25,34,8,3
2024-03-14,CP200247,C104693,South,Card,Branch,1,56+,11,3,1
2024-06-25,CP200248,C107044,South,Login,Digital,1,56+,26,6,2
2024-11-11,CP200249,C101459,West,Login,CallCenter,1,26-40,46,11,4
2024-04-21,CP200250,C102182,South,Fees,Digital,1,41-55,16,4,2
2024-10-13,CP200251,C103910,West,Login,Branch,1,26-40,41,10,4
2024-04-20,CP200252,C104993,South,Login,Digital,1,26-40,16,4,2
2024-11-08,CP200253,C100304,East,Login,Digital,1,56+,45,11,4
2024-10-15,CP200254,C107419,North,Service,Branch,1,18-25,42,10,4
2024-01-01,CP200255,C103165,South,Login,Digital,1,41-55,1,1,1
2024-12-04,CP200256,C107299,West,Card,Branch,1,41-55,49,12,4
2024-11-24,CP200257,C100686,East,Login,CallCenter,1,26-40,47,11,4
2024-11-15,CP200258,C107228,North,Card,Digital,1,18-25,46,11,4
2024-01-01,CP200259,C103336,South,Login,Digital,1,26-40,1,1,1
2024-08-10,CP200260,C107683,East,Service,Digital,1,56+,32,8,3
2024-07-01,CP200261,C100592,West,Card,CallCenter,1,26-40,27,7,3
2024-01-25,CP200262,C100695,South,Card,CallCenter,1,26-40,4,1,1
2024-10-08,CP200263,C100912,South,Card,Digital,1,56+,41,10,4
2024-05-22,CP200264,C106934,West,Login,Digital,1,41-55,21,5,2
2024-02-18,CP200265,C102997,East,Login,Digital,1,18-25,7,2,1
2024-11-15,CP200266,C105002,East,Service,Digital,1,41-55,46,11,4
2024-10-22,CP200267,C105043,East,Card,Digital,1,26-40,43,10,4
2024-12-28,CP200268,C103369,East,Card,CallCenter,1,26-40,52,12,4
2024-07-13,CP200269,C102187,South,Login,Digital,1,26-40,28,7,3
2024-02-07,CP200270,C104901,East,Service,Digital,1,26-40,6,2,1
2024-01-24,CP200271,C101549,North,Card,Digital,1,26-40,4,1,1
2024-02-02,CP200272,C106039,South,Card,Digital,1,26-40,5,2,1
2024-08-20,CP200273,C104021,South,Service,Digital,1,18-25,34,8,3
2024-03-12,CP200274,C107788,South,Card,Branch,1,26-40,11,3,1
2024-09-29,CP200275,C105757,South,Card,Digital,1,26-40,39,9,3
2024-12-26,CP200276,C101412,South,Service,Digital,1,41-55,52,12,4
2024-03-12,CP200277,C103225,South,Login,Digital,1,41-55,11,3,1
2024-11-09,CP200278,C103940,South,Card,Digital,1,18-25,45,11,4
2024-08-05,CP200279,C104749,South,Card,Digital,1,18-25,32,8,3
2024-11-14,CP200280,C105097,North,Service,CallCenter,1,41-55,46,11,4
2024-04-17,CP200281,C100648,South,Service,Digital,1,41-55,16,4,2
2024-12-06,CP200282,C103939,East,Fees,CallCenter,1,18-25,49,12,4
2024-09-03,CP200283,C102592,South,Card,Digital,1,41-55,36,9,3
2024-09-07,CP200284,C100958,North,Fees,Digital,1,26-40,36,9,3
2024-02-16,CP200285,C107329,South,Card,Branch,1,26-40,7,2,1
2024-07-28,CP200286,C102802,South,Fees,Digital,1,18-25,30,7,3
2024-04-03,CP200287,C100334,South,Login,Digital,1,18-25,14,4,2
2024-04-28,CP200288,C104757,South,Card,Branch,1,56+,17,4,2
2024-02-06,CP200289,C106651,North,Card,Digital,1,56+,6,2,1
2024-10-25,CP200290,C106416,West,Fees,Digital,1,26-40,43,10,4
2024-03-27,CP200291,C104790,East,Login,Digital,1,26-40,13,3,1
2024-10-12,CP200292,C103459,North,Service,Branch,1,41-55,41,10,4
2024-06-21,CP200293,C105325,South,Card,Digital,1,18-25,25,6,2
2024-10-18,CP200294,C104442,South,Fees,Digital,1,56+,42,10,4
2024-01-27,CP200295,C106694,East,Card,Digital,1,26-40,4,1,1
2024-01-12,CP200296,C106230,West,Card,Digital,1,56+,2,1,1
2024-03-08,CP200297,C106548,North,Fees,Digital,1,41-55,10,3,1
2024-11-18,CP200298,C106762,South,Login,Branch,1,56+,47,11,4
2024-01-28,CP200299,C104582,South,Fees,Digital,1,41-55,4,1,1
2024-09-07,CP200300,C101037,South,Login,CallCenter,1,26-40,36,9,3
2024-01-26,CP200301,C103443,North,Login,Digital,1,26-40,4,1,1
2024-11-26,CP200302,C105774,West,Fees,Digital,1,26-40,48,11,4
2024-08-30,CP200303,C100838,North,Service,Branch,1,26-40,35,8,3
2024-07-15,CP200304,C105775,South,Service,Digital,1,18-25,29,7,3
2024-07-09,CP200305,C102869,West,Fees,CallCenter,1,18-25,28,7,3
2024-06-28,CP200306,C101392,South,Card,Branch,1,18-25,26,6,2
2024-08-21,CP200307,C104511,South,Card,Digital,1,26-40,34,8,3
2024-06-07,CP200308,C101431,South,Service,Digital,1,41-55,23,6,2
2024-01-17,CP200309,C102836,South,Login,Digital,1,41-55,3,1,1
2024-04-27,CP200310,C103235,South,Card,Digital,1,18-25,17,4,2
2024-12-16,CP200311,C102448,North,Login,Branch,1,26-40,51,12,4
2024-07-28,CP200312,C106787,West,Card,CallCenter,1,41-55,30,7,3
2024-04-01,CP200313,C104343,West,Login,Digital,1,26-40,14,4,2
2024-07-09,CP200314,C101144,North,Service,Digital,1,26-40,28,7,3
2024-05-23,CP200315,C106892,North,Login,Digital,1,18-25,21,5,2
2024-10-14,CP200316,C102189,South,Service,CallCenter,1,56+,42,10,4
2024-05-15,CP200317,C107462,East,Login,Digital,1,18-25,20,5,2
2024-08-28,CP200318,C104664,South,Login,Branch,1,26-40,35,8,3
2024-06-16,CP200319,C102940,East,Login,Digital,1,56+,24,6,2
2024-12-23,CP200320,C106355,East,Service,Branch,1,26-40,52,12,4
2024-01-02,CP200321,C104508,West,Card,Digital,1,41-55,1,1,1
2024-03-21,CP200322,C102679,South,Login,Digital,1,26-40,12,3,1
2024-10-23,CP200323,C106792,West,Login,Branch,1,41-55,43,10,4
2024-08-25,CP200324,C104274,East,Login,Branch,1,18-25,34,8,3
2024-07-27,CP200325,C103112,North,Fees,Branch,1,41-55,30,7,3
2024-10-08,CP200326,C102602,West,Card,Branch,1,26-40,41,10,4
2024-01-24,CP200327,C102353,East,Fees,Digital,1,26-40,4,1,1
2024-03-26,CP200328,C102486,North,Service,CallCenter,1,41-55,13,3,1
2024-05-25,CP200329,C101348,East,Card,Digital,1,26-40,21,5,2
2024-12-16,CP200330,C105768,South,Card,Digital,1,26-40,51,12,4
2024-12-13,CP200331,C104330,South,Login,Branch,1,18-25,50,12,4
2024-06-05,CP200332,C107595,North,Login,Branch,1,56+,23,6,2
2024-01-07,CP200333,C103860,West,Fees,Branch,1,26-40,1,1,1
2024-08-17,CP200334,C107350,North,Card,CallCenter,1,18-25,33,8,3
2024-07-07,CP200335,C101809,East,Card,Digital,1,18-25,27,7,3
2024-10-03,CP200336,C107182,East,Service,Digital,1,41-55,40,10,4
2024-07-14,CP200337,C104013,North,Login,Digital,1,18-25,28,7,3
2024-01-28,CP200338,C100125,South,Card,Digital,1,26-40,4,1,1
2024-08-15,CP200339,C104641,South,Login,Digital,1,18-25,33,8,3
2024-02-04,CP200340,C107945,South,Card,Digital,1,26-40,5,2,1
2024-06-12,CP200341,C104138,West,Login,Digital,1,41-55,24,6,2
2024-04-02,CP200342,C105598,South,Service,Digital,1,26-40,14,4,2
2024-03-04,CP200343,C103959,South,Login,CallCenter,1,26-40,10,3,1
2024-07-21,CP200344,C107412,East,Card,CallCenter,1,18-25,29,7,3
2024-11-10,CP200345,C102890,South,Login,Branch,1,18-25,45,11,4
2024-03-07,CP200346,C103529,South,Fees,CallCenter,1,26-40,10,3,1
2024-06-12,CP200347,C103456,South,Card,Branch,1,56+,24,6,2
2024-07-14,CP200348,C107862,South,Service,Digital,1,18-25,28,7,3
2024-02-10,CP200349,C102601,East,Login,Branch,1,41-55,6,2,1
2024-07-22,CP200350,C105761,South,Service,CallCenter,1,56+,30,7,3
2024-10-24,CP200351,C103111,South,Login,Digital,1,26-40,43,10,4
2024-04-16,CP200352,C106993,South,Fees,Digital,1,26-40,16,4,2
2024-07-24,CP200353,C102366,East,Card,Digital,1,26-40,30,7,3
2024-07-06,CP200354,C104194,South,Fees,Digital,1,26-40,27,7,3
2024-11-12,CP200355,C104852,North,Fees,Branch,1,41-55,46,11,4
2024-01-26,CP200356,C103485,South,Service,Branch,1,41-55,4,1,1
2024-12-12,CP200357,C103938,South,Card,Digital,1,26-40,50,12,4
2024-01-15,CP200358,C106316,South,Service,Branch,1,26-40,3,1,1
2024-07-16,CP200359,C101009,North,Login,Branch,1,26-40,29,7,3
2024-09-17,CP200360,C105166,South,Card,Branch,1,26-40,38,9,3
2024-12-21,CP200361,C102750,South,Login,Digital,1,26-40,51,12,4
2024-11-23,CP200362,C105640,North,Login,Branch,1,26-40,47,11,4
2024-02-21,CP200363,C100135,South,Card,Digital,1,18-25,8,2,1
2024-04-07,CP200364,C101590,East,Login,Digital,1,18-25,14,4,2
2024-11-01,CP200365,C105029,South,Login,CallCenter,1,18-25,44,11,4
2024-04-19,CP200366,C101774,East,Login,Digital,1,41-55,16,4,2
2024-11-16,CP200367,C104180,South,Service,Digital,1,41-55,46,11,4
2024-01-29,CP200368,C100084,North,Login,Branch,1,18-25,5,1,1
2024-09-21,CP200369,C107164,South,Service,Digital,1,56+,38,9,3
2024-04-25,CP200370,C104552,South,Fees,Digital,1,18-25,17,4,2
2024-10-07,CP200371,C103310,South,Fees,Digital,1,56+,41,10,4
