date,ticket_id,customer_id,region,type,resolution_time_hours,channel,segment,week_of_year,month,quarter
2024-10-29,TK500024,C100619,East,Login,16.08,Digital,18-25,44,10,4
2024-09-28,TK500025,C100245,North,Card,9.37,Digital,56+,39,9,3
2024-07-21,TK500026,C102918,East,Login,15.57,CallCenter,18-25,29,7,3
2024-06-04,TK500027,C102961,South,Card,11.41,Branch,56+,23,6,2
2024-08-02,TK500028,C102462,North,Login,15.68,Digital,18-25,31,8,3
2024-06-21,TK500029,C104446,East,Card,25.4,Digital,26-40,25,6,2
2024-10-14,TK500030,C107991,West,Login,12.22,CallCenter,56+,42,10,4
2024-02-22,TK500031,C105168,South,Login,8.87,Branch,18-25,8,2,1
2024-01-24,TK500032,C100181,East,Login,16.35,Digital,56+,4,1,1
2024-07-12,TK500033,C103637,East,Transfer,10.09,Digital,18-25,28,7,3
2024-10-12,TK500034,C105782,East,Transfer,19.94,CallCenter,26-40,41,10,4
2024-12-25,TK500035,C103318,East,Login,11.99,CallCenter,18-25,52,12,4
2024-07-11,TK500036,C106907,North,Transfer,15.12,Digital,41-55,28,7,3
2024-10-19,TK500037,C101417,East,Transfer,2.68,CallCenter,26-40,42,10,4
2024-02-08,TK500038,C106589,South,Login,10.35,Digital,26-40,6,2,1
2024-08-02,TK500039,C105502,South,Other,9.59,Digital,18-25,31,8,3
2024-01-08,TK500040,C104765,North,Card,11.3,Branch,26-40,2,1,1
2024-10-09,TK500041,C107206,East,Login,6.5,Digital,26-40,41,10,4
2024-02-21,TK500042,C101793,North,Card,14.99,CallCenter,41-55,8,2,1
2024-08-20,TK500043,C102157,East,Login,14.46,Digital,26-40,34,8,3
2024-06-25,TK500044,C107687,South,AppBug,10.42,CallCenter,41-55,26,6,2
2024-12-05,TK500045,C102706,West,AppBug,6.94,Digital,56+,49,12,4
2024-05-26,TK500046,C103373,West,AppBug,14.22,CallCenter,18-25,21,5,2
2024-09-12,TK500047,C104921,West,Card,9.67,Digital,18-25,37,9,3
2024-02-24,TK500048,C105820,West,Transfer,19.06,Digital,41-55,8,2,1
2024-08-04,TK500049,C105637,South,Card,19.75,Digital,41-55,31,8,3
2024-03-12,TK500050,C103662,South,Card,3.7,Digital,56+,11,3,1
2024-09-03,TK500051,C100953,West,AppBug,9.4,Branch,18-25,36,9,3
2024-08-11,TK500052,C103662,South,Transfer,13.14,Digital,56+,32,8,3
2024-04-14,TK500053,C101851,East,Transfer,8.53,Digital,56+,15,4,2
2024-05-08,TK500054,C104265,North,AppBug,13.52,CallCenter,26-40,19,5,2
2024-03-03,TK500055,C104382,East,Other,11.3,CallCenter,26-40,9,3,1
2024-06-26,TK500056,C101042,South,AppBug,10.4,CallCenter,41-55,26,6,2
2024-12-08,TK500057,C103960,South,Login,28.93,CallCenter,26-40,49,12,4
2024-07-19,TK500058,C101891,South,Other,10.3,Digital,41-55,29,7,3
2024-11-10,TK500059,C104288,West,Login,3.47,CallCenter,56+,45,11,4
2024-07-12,TK500060,C106713,South,AppBug,6.68,CallCenter,41-55,28,7,3
2024-02-14,TK500061,C102555,West,Other,2.75,Digital,41-55,7,2,1
2024-05-22,TK500062,C102086,East,AppBug,8.28,CallCenter,26-40,21,5,2
2024-08-22,TK500063,C105091,East,Card,7.64,CallCenter,41-55,34,8,3
2024-03-02,TK500064,C101604,South,Login,8.52,Digital,26-40,9,3,1
2024-12-25,TK500065,C100585,South,Transfer,11.75,Digital,41-55,52,12,4
2024-01-11,TK500066,C104883,West,Card,1.0,Digital,26-40,2,1,1
2024-11-12,TK500067,C105301,West,Login,13.37,Digital,41-55,46,11,4
2024-04-09,TK500068,C107934,South,Login,5.2,CallCenter,41-55,15,4,2
2024-11-01,TK500069,C105592,East,Login,8.2,CallCenter,26-40,44,11,4
2024-12-21,TK500070,C106179,North,Card,7.07,CallCenter,26-40,51,12,4
2024-02-18,TK500071,C105018,South,Card,15.88,Digital,41-55,7,2,1
2024-01-09,TK500072,C107700,West,Transfer,10.78,CallCenter,18-25,2,1,1
2024-06-30,TK500073,C102610,South,Card,1.57,Digital,56+,26,6,2
2024-01-16,TK500074,C101418,South,Login,8.65,CallCenter,56+,3,1,1
2024-02-20,TK500075,C100787,East,AppBug,13.94,Digital,26-40,8,2,1
2024-09-19,TK500076,C107022,East,Card,12.01,Digital,26-40,38,9,3
2024-03-18,TK500077,C105904,North,Login,17.47,CallCenter,26-40,12,3,1
2024-07-22,TK500078,C102402,South,Card,23.56,Digital,41-55,30,7,3
2024-04-02,TK500079,C107031,South,AppBug,19.26,Branch,26-40,14,4,2
2024-12-18,TK500080,C100244,West,Other,14.43,Digital,41-55,51,12,4
2024-02-09,TK500081,C105825,East,Card,15.57,CallCenter,18-25,6,2,1
2024-03-24,TK500082,C105368,East,Card,11.41,Digital,41-55,12,3,1
2024-12-17,TK500083,C105571,North,Card,12.57,Digital,18-25,51,12,4
2024-03-14,TK500084,C107966,South,Login,7.27,Branch,26-40,11,3,1
2024-07-30,TK500085,C101435,South,AppBug,21.76,Digital,56+,31,7,3
2024-03-21,TK500086,C101605,West,Login,1.0,Branch,26-40,12,3,1
2024-11-16,TK500087,C104270,West,Other,17.77,CallCenter,56+,46,11,4
2024-01-03,TK500088,C105690,North,Login,9.95,Branch,26-40,1,1,1
2024-11-16,TK500089,C104474,South,Transfer,12.02,Digital,26-40,46,11,4
2024-09-03,TK500090,C103694,South,Card,4.72,CallCenter,41-55,36,9,3
2024-11-13,TK500091,C106183,South,Card,8.9,Digital,41-55,46,11,4
2024-11-01,TK500092,C101672,West,AppBug,12.14,CallCenter,41-55,44,11,4
2024-02-15,TK500093,C106571,South,Card,20.59,CallCenter,26-40,7,2,1
2024-07-02,TK500094,C100533,West,AppBug,7.95,Digital,41-55,27,7,3
2024-01-14,TK500095,C102822,South,Other,5.68,Digital,18-25,2,1,1
2024-04-29,TK500096,C105760,South,AppBug,16.11,Digital,18-25,18,4,2
2024-09-08,TK500097,C102823,South,Card,15.67,Digital,56+,36,9,3
2024-01-20,TK500098,C101292,East,Transfer,8.82,Digital,26-40,3,1,1
2024-06-06,TK500099,C101560,East,Card,18.73,CallCenter,56+,23,6,2
2024-11-03,TK500100,C100696,North,Login,14.59,Digital,41-55,44,11,4
2024-05-08,TK500101,C105443,West,Transfer,15.2,CallCenter,41-55,19,5,2
2024-05-07,TK500102,C103481,South,Card,26.7,Digital,41-55,19,5,2
2024-03-25,TK500103,C107788,South,Login,11.84,Branch,26-40,13,3,1
2024-08-15,TK500104,C104293,South,Other,14.93,Branch,26-40,33,8,3
2024-06-25,TK500105,C102480,West,AppBug,12.65,Branch,26-40,26,6,2
2024-09-08,TK500106,C100962,East,Transfer,10.4,CallCenter,18-25,36,9,3
2024-03-15,TK500107,C104445,North,Card,8.94,Digital,26-40,11,3,1
2024-02-23,TK500108,C100834,South,Transfer,2.11,Digital,41-55,8,2,1
2024-09-23,TK500109,C107878,East,Transfer,16.63,Digital,56+,39,9,3
2024-10-15,TK500110,C101202,South,AppBug,16.57,Digital,41-55,42,10,4
2024-05-18,TK500111,C105918,South,AppBug,9.3,Digital,56+,20,5,2
2024-03-01,TK500112,C102534,North,Other,13.14,CallCenter,56+,9,3,1
2024-04-30,TK500113,C106729,South,AppBug,11.87,CallCenter,26-40,18,4,2
2024-07-02,TK500114,C101237,East,Login,1.0,Digital,26-40,27,7,3
2024-04-23,TK500115,C100275,South,Login,7.53,CallCenter,26-40,17,4,2
2024-07-19,TK500116,C107283,East,Card,17.45,Digital,18-25,29,7,3
2024-07-18,TK500117,C104816,West,Card,15.01,CallCenter,26-40,29,7,3
2024-07-07,TK500118,C104555,South,Transfer,2.3,Branch,41-55,27,7,3
2024-10-06,TK500119,C104735,West,Other,27.7,Branch,41-55,40,10,4
2024-04-26,TK500120,C101674,South,Card,16.2,CallCenter,41-55,17,4,2
2024-08-07,TK500121,C107316,East,Transfer,9.32,Digital,56+,32,8,3
2024-07-30,TK500122,C105325,South,Transfer,19.94,Digital,18-25,31,7,3
2024-06-03,TK500123,C103237,East,Card,15.34,Digital,26-40,23,6,2
2024-09-08,TK500124,C102465,West,Card,1.22,Digital,41-55,36,9,3
2024-12-05,TK500125,C103548,South,Login,12.75,Digital,18-25,49,12,4
2024-03-15,TK500126,C100564,South,AppBug,13.84,CallCenter,41-55,11,3,1
2024-06-17,TK500127,C105284,West,Transfer,12.4,Digital,18-25,25,6,2
2024-03-31,TK500128,C102311,South,Card,13.2,Digital,18-25,13,3,1
2024-03-29,TK500129,C107895,West,Login,12.24,Digital,41-55,13,3,1
2024-09-28,TK500130,C104653,East,Other,13.03,Digital,18-25,39,9,3
2024-02-25,TK500131,C102534,North,Transfer,14.41,CallCenter,56+,8,2,1
2024-04-22,TK500132,C105193,South,Login,5.52,Digital,41-55,17,4,2
2024-07-10,TK500133,C107261,West,Other,21.8,Digital,41-55,28,7,3
2024-05-17,TK500134,C102303,South,Other,14.86,Digital,26-40,20,5,2
2024-07-29,TK500135,C104284,South,Login,11.32,Branch,56+,31,7,3
2024-02-27,TK500136,C103848,North,Transfer,1.0,Digital,26-40,9,2,1
2024-09-10,TK500137,C104395,South,Login,11.08,Digital,26-40,37,9,3
2024-04-02,TK500138,C106405,West,AppBug,9.25,Digital,41-55,14,4,2
2024-01-08,TK500139,C101496,North,AppBug,18.99,Digital,56+,2,1,1
2024-04-15,TK500140,C103490,North,Transfer,21.93,CallCenter,26-40,16,4,2
2024-03-24,TK500141,C102179,East,Card,7.8,Digital,56+,12,3,1
2024-05-01,TK500142,C101555,North,Login,15.48,CallCenter,41-55,18,5,2
2024-01-25,TK500143,C106142,East,Transfer,4.18,CallCenter,18-25,4,1,1
2024-12-19,TK500144,C104189,North,Card,18.2,Digital,26-40,51,12,4
2024-09-18,TK500145,C107830,East,Login,15.11,Digital,56+,38,9,3
2024-06-16,TK500146,C100304,East,Transfer,13.39,Digital,56+,24,6,2
2024-12-05,TK500147,C103083,East,AppBug,4.03,CallCenter,41-55,49,12,4
2024-08-08,TK500148,C107955,West,Transfer,8.32,Digital,41-55,32,8,3
2024-12-23,TK500149,C107947,South,Card,7.21,CallCenter,26-40,52,12,4
2024-12-02,TK500150,C102657,East,Transfer,16.93,CallCenter,26-40,49,12,4
2024-04-22,TK500151,C101334,East,Transfer,1.0,Digital,56+,17,4,2
2024-07-06,TK500152,C107329,South,Transfer,17.16,Branch,26-40,27,7,3
2024-12-21,TK500153,C101498,West,Card,17.14,CallCenter,26-40,51,12,4
2024-09-24,TK500154,C101305,South,Other,3.15,Digital,56+,39,9,3
2024-12-01,TK500155,C103583,South,Transfer,14.3,CallCenter,41-55,48,12,4
2024-10-25,TK500156,C105999,South,Other,3.39,Branch,41-55,43,10,4
2024-04-03,TK500157,C102548,South,Transfer,8.18,Branch,26-40,14,4,2
2024-03-12,TK500158,C105310,South,Card,12.82,Digital,26-40,11,3,1
2024-03-22,TK500159,C103607,South,Login,18.77,CallCenter,26-40,12,3,1
2024-11-10,TK500160,C101735,South,Other,7.89,Branch,41-55,45,11,4
2024-06-27,TK500161,C105368,East,Card,8.63,Digital,41-55,26,6,2
2024-07-20,TK500162,C103557,West,Transfer,11.32,CallCenter,56+,29,7,3
2024-10-23,TK500163,C102491,South,Transfer,7.38,CallCenter,26-40,43,10,4
2024-07-14,TK500164,C105758,South,Transfer,13.19,Digital,26-40,28,7,3
2024-12-03,TK500165,C100154,South,Card,10.27,Digital,18-25,49,12,4
2024-07-26,TK500166,C104440,West,AppBug,1.99,CallCenter,18-25,30,7,3
2024-12-10,TK500167,C103402,North,Login,13.64,Digital,26-40,50,12,4
2024-10-25,TK500168,C102255,South,Card,1.0,Branch,26-40,43,10,4
2024-10-17,TK500169,C100123,South,Login,6.53,Digital,26-40,42,10,4
2024-09-04,TK500170,C103891,North,Card,14.67,Digital,41-55,36,9,3
2024-08-10,TK500171,C104184,South,Login,16.97,CallCenter,56+,32,8,3
2024-06-09,TK500172,C104679,South,Login,1.05,CallCenter,56+,23,6,2
2024-12-19,TK500173,C106815,South,Card,12.46,Digital,18-25,51,12,4
2024-01-28,TK500174,C104693,South,Card,4.34,Branch,56+,4,1,1
2024-09-16,TK500175,C104071,North,Card,13.91,CallCenter,41-55,38,9,3
2024-10-07,TK500176,C100313,South,Card,2.94,Digital,26-40,41,10,4
2024-12-03,TK500177,C104853,South,Login,12.03,Branch,18-25,49,12,4
2024-08-04,TK500178,C105489,West,Login,5.56,Branch,41-55,31,8,3
2024-07-17,TK500179,C103898,South,Login,3.93,CallCenter,18-25,29,7,3
2024-02-13,TK500180,C107376,West,Login,16.19,Digital,18-25,7,2,1
2024-08-18,TK500181,C102021,South,Transfer,4.17,Digital,18-25,33,8,3
2024-02-28,TK500182,C103019,East,Other,10.3,Branch,26-40,9,2,1
2024-03-30,TK500183,C107933,West,Login,8.45,Digital,18-25,13,3,1
2024-10-07,TK500184,C107661,South,Login,9.05,Digital,56+,41,10,4
2024-09-02,TK500185,C103696,East,Login,19.51,CallCenter,26-40,36,9,3
2024-03-26,TK500186,C101593,East,Card,3.62,Branch,26-40,13,3,1
2024-04-08,TK500187,C103196,North,Transfer,10.37,Digital,26-40,15,4,2
2024-11-08,TK500188,C106302,South,AppBug,10.56,CallCenter,26-40,45,11,4
2024-04-15,TK500189,C107754,South,Card,18.43,Digital,26-40,16,4,2
2024-03-08,TK500190,C103934,West,Other,13.45,CallCenter,26-40,10,3,1
2024-09-15,TK500191,C107831,South,Login,4.23,Digital,41-55,37,9,3
2024-12-21,TK500192,C103230,North,Card,14.93,Branch,26-40,51,12,4
2024-07-24,TK500193,C101827,South,Login,4.29,Digital,26-40,30,7,3
2024-07-31,TK500194,C105012,West,Transfer,8.17,Digital,18-25,31,7,3
2024-11-03,TK500195,C107558,North,AppBug,6.96,CallCenter,56+,44,11,4
2024-05-20,TK500196,C107366,East,Card,13.81,CallCenter,18-25,21,5,2
2024-08-28,TK500197,C104907,East,AppBug,12.16,Branch,18-25,35,8,3
2024-08-23,TK500198,C101526,South,Transfer,19.0,Digital,26-40,34,8,3
2024-10-10,TK500199,C101047,South,Other,18.06,Digital,41-55,41,10,4
2024-06-17,TK500200,C101361,South,Login,6.67,CallCenter,26-40,25,6,2
2024-10-05,TK500201,C102657,East,Card,1.0,Digital,26-40,40,10,4
2024-05-28,TK500202,C104503,West,Login,2.21,Digital,26-40,22,5,2
2024-04-19,TK500203,C105985,South,AppBug,19.15,Digital,26-40,16,4,2
2024-03-08,TK500204,C103579,South,Other,12.71,Digital,18-25,10,3,1
2024-10-29,TK500205,C101166,South,AppBug,11.01,CallCenter,41-55,44,10,4
2024-03-28,TK500206,C102763,West,Card,11.29,CallCenter,26-40,13,3,1
2024-01-13,TK500207,C106403,East,Transfer,11.84,Digital,26-40,2,1,1
2024-01-08,TK500208,C101332,South,AppBug,11.35,Digital,26-40,2,1,1
2024-02-23,TK500209,C102513,South,Login,22.48,Digital,18-25,8,2,1
2024-12-02,TK500210,C106301,East,Other,31.71,Digital,26-40,49,12,4
2024-09-15,TK500211,C101983,South,AppBug,15.84,Digital,26-40,37,9,3
2024-09-23,TK500212,C100759,South,Transfer,17.83,CallCenter,26-40,39,9,3
2024-11-23,TK500213,C104489,South,Login,8.43,CallCenter,26-40,47,11,4
2024-12-06,TK500214,C102255,South,Transfer,10.2,CallCenter,26-40,49,12,4
2024-06-14,TK500215,C101645,South,Transfer,19.77,Digital,26-40,24,6,2
2024-10-23,TK500216,C103104,West,Login,21.96,Digital,41-55,43,10,4
2024-02-08,TK500217,C101631,West,Login,19.6,Branch,56+,6,2,1
2024-02-28,TK500218,C106962,North,Other,6.18,Digital,26-40,9,2,1
2024-05-04,TK500219,C104684,North,AppBug,9.01,CallCenter,56+,18,5,2
2024-02-09,TK500220,C104833,North,Login,8.33,CallCenter,41-55,6,2,1
2024-12-07,TK500221,C104589,East,Card,8.88,Digital,56+,49,12,4
2024-07-09,TK500222,C104243,West,Card,16.23,CallCenter,26-40,28,7,3
2024-09-28,TK500223,C103157,West,Other,11.5,Digital,18-25,39,9,3
2024-08-07,TK500224,C106242,East,Login,15.4,Digital,18-25,32,8,3
2024-01-21,TK500225,C104987,North,Transfer,9.82,Digital,18-25,3,1,1
2024-12-20,TK500226,C101712,West,Transfer,17.94,Digital,56+,51,12,4
2024-05-30,TK500227,C107731,South,Transfer,11.48,CallCenter,26-40,22,5,2
2024-05-29,TK500228,C102563,South,Card,12.96,Digital,26-40,22,5,2
2024-04-24,TK500229,C101980,South,Transfer,14.63,Digital,56+,17,4,2
2024-03-22,TK500230,C100165,East,Card,7.31,Branch,26-40,12,3,1
2024-09-02,TK500231,C107614,South,Other,1.0,Digital,26-40,36,9,3
2024-03-27,TK500232,C106352,South,Card,19.15,CallCenter,41-55,13,3,1
2024-05-11,TK500233,C103720,North,Card,8.73,CallCenter,41-55,19,5,2
2024-10-31,TK500234,C106092,West,Transfer,17.18,CallCenter,41-55,44,10,4
2024-01-02,TK500235,C106149,East,Card,9.63,CallCenter,41-55,1,1,1
2024-01-18,TK500236,C103221,East,Card,3.62,Digital,41-55,3,1,1
2024-08-30,TK500237,C105441,North,Card,3.74,CallCenter,41-55,35,8,3
2024-03-08,TK500238,C102180,West,Other,5.87,Digital,41-55,10,3,1
2024-04-04,TK500239,C102432,South,Login,5.77,CallCenter,26-40,14,4,2
2024-05-03,TK500240,C106503,West,Transfer,17.13,CallCenter,56+,18,5,2
2024-06-05,TK500241,C105390,East,Card,6.48,CallCenter,26-40,23,6,2
2024-07-21,TK500242,C103052,West,Login,5.68,CallCenter,41-55,29,7,3
2024-06-29,TK500243,C104815,South,Transfer,17.69,Digital,18-25,26,6,2
2024-11-15,TK500244,C101193,South,Login,11.47,Digital,56+,46,11,4
2024-09-04,TK500245,C107556,West,Transfer,7.68,Branch,26-40,36,9,3
2024-03-15,TK500246,C105302,West,Transfer,9.2,CallCenter,41-55,11,3,1
2024-03-02,TK500247,C101942,East,AppBug,6.7,CallCenter,26-40,9,3,1
2024-08-05,TK500248,C106101,South,Login,5.03,CallCenter,18-25,32,8,3
2024-11-12,TK500249,C100599,South,Login,12.66,Digital,41-55,46,11,4
2024-03-24,TK500250,C103132,South,Card,26.58,Digital,18-25,12,3,1
2024-03-24,TK500251,C105555,North,Other,9.15,Branch,56+,12,3,1
2024-11-04,TK500252,C103171,East,Card,10.85,CallCenter,41-55,45,11,4
2024-06-20,TK500253,C100612,East,Other,10.87,CallCenter,56+,25,6,2
2024-06-30,TK500254,C102301,South,Login,16.38,CallCenter,41-55,26,6,2
2024-12-10,TK500255,C100728,North,Card,1.0,CallCenter,26-40,50,12,4
2024-08-26,TK500256,C107322,South,Card,16.04,Digital,26-40,35,8,3
2024-05-29,TK500257,C103914,West,Login,7.09,Digital,26-40,22,5,2
2024-04-16,TK500258,C107037,North,Card,3.82,Digital,41-55,16,4,2
2024-03-01,TK500259,C101268,West,Transfer,11.27,CallCenter,26-40,9,3,1
2024-05-19,TK500260,C107337,South,AppBug,12.37,CallCenter,26-40,20,5,2
2024-10-20,TK500261,C100689,West,Card,4.91,Digital,26-40,42,10,4
2024-11-21,TK500262,C107838,West,Transfer,13.65,Digital,41-55,47,11,4
2024-10-08,TK500263,C105940,East,Transfer,11.06,Digital,41-55,41,10,4
2024-01-15,TK500264,C104055,South,Transfer,19.15,Digital,41-55,3,1,1
2024-05-09,TK500265,C100939,West,Login,1.0,Digital,18-25,19,5,2
2024-12-14,TK500266,C101233,West,Other,18.08,CallCenter,41-55,50,12,4
2024-06-05,TK500267,C107961,South,Login,10.93,Branch,26-40,23,6,2
2024-12-14,TK500268,C104188,North,Other,12.39,Digital,18-25,50,12,4
2024-09-04,TK500269,C103249,South,Transfer,1.0,Digital,26-40,36,9,3
2024-03-01,TK500270,C100232,West,Other,5.5,CallCenter,56+,9,3,1
2024-04-06,TK500271,C107761,West,AppBug,12.19,CallCenter,56+,14,4,2
2024-05-31,TK500272,C103839,North,Login,8.52,Digital,26-40,22,5,2
2024-06-15,TK500273,C102171,South,Other,9.54,Digital,26-40,24,6,2
2024-06-03,TK500274,C102428,South,AppBug,17.58,CallCenter,41-55,23,6,2
2024-06-07,TK500275,C102886,South,AppBug,12.13,Digital,18-25,23,6,2
2024-11-20,TK500276,C100033,South,Login,13.94,Branch,26-40,47,11,4
2024-02-16,TK500277,C107374,East,Card,8.01,Digital,26-40,7,2,1
2024-03-02,TK500278,C102278,North,Login,3.48,Digital,56+,9,3,1
2024-09-29,TK500279,C107883,West,Login,10.95,Digital,41-55,39,9,3
2024-06-21,TK500280,C106008,West,Login,7.99,CallCenter,41-55,25,6,2
2024-11-07,TK500281,C100429,South,Transfer,12.39,Digital,41-55,45,11,4
2024-04-22,TK500282,C101495,North,Login,10.83,Branch,41-55,17,4,2
2024-03-25,TK500283,C105075,West,Card,8.03,CallCenter,26-40,13,3,1
2024-02-28,TK500284,C103851,South,Other,13.77,Branch,26-40,9,2,1
2024-11-17,TK500285,C106619,North,Other,13.12,Branch,26-40,46,11,4
2024-08-31,TK500286,C105816,South,Transfer,1.21,Digital,26-40,35,8,3
2024-06-02,TK500287,C107307,West,AppBug,6.82,Branch,41-55,22,6,2
2024-02-22,TK500288,C104277,East,Transfer,13.99,CallCenter,56+,8,2,1
2024-01-25,TK500289,C102647,East,AppBug,5.26,Digital,41-55,4,1,1
2024-11-02,TK500290,C107018,North,Transfer,8.24,CallCenter,18-25,44,11,4
2024-08-19,TK500291,C101707,West,Login,20.19,Digital,26-40,34,8,3
2024-01-20,TK500292,C100411,South,Login,4.03,Digital,41-55,3,1,1
2024-06-07,TK500293,C102001,East,Login,8.0,Digital,26-40,23,6,2
2024-04-24,TK500294,C104463,North,Transfer,13.34,Digital,56+,17,4,2
2024-10-21,TK500295,C103069,South,Card,16.75,CallCenter,26-40,43,10,4
2024-08-20,TK500296,C101076,East,AppBug,5.23,Branch,26-40,34,8,3
2024-08-21,TK500297,C104850,East,AppBug,21.74,Digital,18-25,34,8,3
2024-01-09,TK500298,C104184,South,Login,1.72,Branch,56+,2,1,1
2024-03-21,TK500299,C107725,South,Card,21.28,CallCenter,26-40,12,3,1
2024-11-19,TK500300,C102718,North,AppBug,5.08,Digital,18-25,47,11,4
2024-01-12,TK500301,C103909,South,Login,7.28,CallCenter,41-55,2,1,1
2024-05-21,TK500302,C104584,East,Login,6.34,Digital,41-55,21,5,2
2024-02-05,TK500303,C107360,West,AppBug,7.15,Digital,26-40,6,2,1
2024-08-05,TK500304,C100029,South,Card,7.09,Digital,41-55,32,8,3
2024-01-04,TK500305,C105219,South,Card,22.2,CallCenter,18-25,1,1,1
2024-10-11,TK500306,C102858,East,Other,14.75,CallCenter,41-55,41,10,4
2024-05-03,TK500307,C104332,East,AppBug,8.91,Digital,18-25,18,5,2
2024-03-18,TK500308,C105029,South,Login,25.93,Digital,18-25,12,3,1
2024-04-19,TK500309,C100418,South,AppBug,18.12,Digital,18-25,16,4,2
2024-08-02,TK500310,C106039,South,Login,22.34,Branch,26-40,31,8,3
2024-05-27,TK500311,C104546,West,Transfer,5.02,Digital,56+,22,5,2
2024-04-08,TK500312,C106619,North,AppBug,16.56,CallCenter,26-40,15,4,2
2024-06-27,TK500313,C105707,South,Transfer,8.72,CallCenter,41-55,26,6,2
2024-06-28,TK500314,C102508,North,Card,11.69,Digital,26-40,26,6,2
2024-08-21,TK500315,C100929,South,Card,19.15,Digital,41-55,34,8,3
2024-12-21,TK500316,C107361,South,Login,9.08,Branch,41-55,51,12,4
2024-09-01,TK500317,C105535,South,Card,11.56,Digital,41-55,35,9,3
2024-01-12,TK500318,C101209,East,Card,13.54,Branch,26-40,2,1,1
2024-04-02,TK500319,C105500,West,Login,5.45,Digital,18-25,14,4,2
2024-12-13,TK500320,C107945,South,AppBug,5.64,Digital,26-40,50,12,4
2024-07-31,TK500321,C101937,South,Transfer,3.25,CallCenter,41-55,31,7,3
2024-12-02,TK500322,C107922,North,Login,7.54,Branch,41-55,49,12,4
2024-02-15,TK500323,C106936,South,Card,13.92,Digital,56+,7,2,1
2024-06-26,TK500324,C105148,South,Login,11.29,CallCenter,56+,26,6,2
2024-03-15,TK500325,C100368,South,AppBug,15.11,Digital,26-40,11,3,1
2024-02-06,TK500326,C105134,North,Login,15.77,Branch,56+,6,2,1
2024-12-09,TK500327,C107612,South,Card,3.59,Branch,41-55,50,12,4
2024-03-28,TK500328,C102214,East,Other,16.58,CallCenter,56+,13,3,1
2024-02-28,TK500329,C104888,West,Card,18.26,CallCenter,26-40,9,2,1
2024-05-17,TK500330,C102164,North,AppBug,7.26,Branch,56+,20,5,2
2024-01-19,TK500331,C104909,North,Login,24.27,Branch,18-25,3,1,1
2024-05-22,TK500332,C106595,East,Other,25.62,CallCenter,26-40,21,5,2
2024-08-23,TK500333,C104337,South,Login,13.24,Digital,18-25,34,8,3
2024-12-21,TK500334,C107153,South,Card,14.27,Digital,26-40,51,12,4
2024-01-01,TK500335,C102727,South,Login,13.22,Digital,18-25,1,1,1
2024-11-18,TK500336,C107487,South,Card,14.32,CallCenter,18-25,47,11,4
2024-10-04,TK500337,C106049,North,AppBug,7.22,Digital,26-40,40,10,4
2024-08-01,TK500338,C107470,South,Login,22.62,Digital,18-25,31,8,3
2024-09-06,TK500339,C101254,West,Login,13.7,CallCenter,18-25,36,9,3
2024-08-07,TK500340,C107539,West,AppBug,17.84,Digital,26-40,32,8,3
2024-01-14,TK500341,C101928,East,AppBug,12.95,Digital,18-25,2,1,1
2024-02-01,TK500342,C104893,North,Card,16.58,Digital,26-40,5,2,1
2024-10-24,TK500343,C107982,East,Card,1.0,CallCenter,56+,43,10,4
2024-09-14,TK500344,C103646,South,Login,7.14,Digital,26-40,37,9,3
