customer_id,segment,age_band,region,join_date,primary_channel
C100111,18-25,18-25,South,2020-12-20,Branch
C100112,26-40,26-40,West,2021-05-24,ATM
C100113,26-40,26-40,East,2020-04-15,CallCenter
C100114,18-25,18-25,North,2020-08-02,Digital
C100115,56+,56+,West,2020-02-05,Digital
C100116,41-55,41-55,South,2022-02-20,Digital
C100117,41-55,41-55,South,2021-11-07,CallCenter
C100118,26-40,26-40,South,2021-02-04,CallCenter
C100119,41-55,41-55,East,2023-09-03,ATM
C100120,26-40,26-40,South,2021-03-22,Digital
C100121,41-55,41-55,South,2020-01-25,CallCenter
C100122,18-25,18-25,East,2020-05-25,Digital
C100123,26-40,26-40,South,2022-11-25,Digital
C100124,18-25,18-25,West,2022-02-18,Branch
C100125,26-40,26-40,South,2021-01-15,ATM
C100126,26-40,26-40,South,2020-12-27,ATM
C100127,18-25,18-25,East,2020-11-16,Digital
C100128,18-25,18-25,South,2021-09-08,Digital
C100129,26-40,26-40,South,2022-10-25,Digital
C100130,18-25,18-25,East,2022-07-21,Digital
C100131,56+,56+,West,2022-12-28,ATM
C100132,26-40,26-40,East,2020-03-01,Digital
C100133,26-40,26-40,West,2022-03-27,Digital
C100134,26-40,26-40,South,2023-01-21,Digital
C100135,18-25,18-25,South,2020-10-22,Branch
C100136,56+,56+,South,2022-05-01,ATM
C100137,26-40,26-40,North,2020-01-10,Digital
C100138,41-55,41-55,East,2023-08-22,Digital
C100139,18-25,18-25,South,2022-12-13,CallCenter
C100140,26-40,26-40,South,2022-06-29,Branch
C100141,26-40,26-40,South,2022-05-26,Digital
C100142,56+,56+,South,2022-09-05,Digital
C100143,26-40,26-40,South,2021-09-09,CallCenter
C100144,26-40,26-40,South,2023-11-13,Branch
C100145,26-40,26-40,South,2020-11-08,Digital
C100146,26-40,26-40,South,2023-03-30,Digital
C100147,26-40,26-40,South,2023-01-18,Digital
C100148,26-40,26-40,West,2023-05-08,Digital
C100149,18-25,18-25,North,2020-04-13,Digital
C100150,41-55,41-55,South,2021-10-12,Digital
C100151,56+,56+,South,2022-07-27,Digital
C100152,18-25,18-25,South,2022-06-23,Digital
C100153,26-40,26-40,West,2022-10-02,Digital
C100154,18-25,18-25,South,2022-07-15,Digital
C100155,41-55,41-55,West,2020-11-22,ATM
C100156,26-40,26-40,West,2023-04-24,Digital
C100157,41-55,41-55,South,2021-12-07,ATM
C100158,41-55,41-55,South,2023-11-19,CallCenter
C100159,41-55,41-55,South,2022-01-30,CallCenter
C100160,18-25,18-25,South,2022-02-24,Digital
C100161,56+,56+,South,2022-05-13,Digital
C100162,26-40,26-40,South,2023-06-26,Branch
C100163,18-25,18-25,South,2023-08-09,Digital
C100164,26-40,26-40,South,2022-05-04,Digital
C100165,26-40,26-40,East,2022-03-09,Digital
C100166,41-55,41-55,East,2020-03-20,Branch
C100167,41-55,41-55,West,2020-04-08,ATM
C100168,26-40,26-40,South,2022-12-12,Digital
C100169,56+,56+,South,2021-05-19,CallCenter
C100170,26-40,26-40,West,2021-09-30,ATM
C100171,26-40,26-40,East,2022-07-06,Digital
C100172,26-40,26-40,South,2020-11-20,Digital
C100173,56+,56+,South,2021-05-01,Digital
C100174,18-25,18-25,North,2020-03-03,CallCenter
C100175,18-25,18-25,West,2023-01-26,Branch
C100176,26-40,26-40,South,2022-01-12,Branch
C100177,56+,56+,South,2020-10-04,Branch
C100178,56+,56+,South,2022-05-20,Digital
C100179,41-55,41-55,South,2020-07-27,CallCenter
C100180,56+,56+,South,2023-02-14,CallCenter
C100181,56+,56+,East,2020-12-03,Branch
C100182,26-40,26-40,South,2021-01-29,Digital
C100183,26-40,26-40,North,2023-07-03,Digital
C100184,41-55,41-55,South,2022-12-21,Digital
C100185,41-55,41-55,West,2022-09-21,Digital
C100186,26-40,26-40,South,2022-05-29,Branch
C100187,18-25,18-25,South,2022-01-29,ATM
C100188,41-55,41-55,South,2020-10-07,CallCenter
C100189,26-40,26-40,East,2021-03-14,Digital
C100190,56+,56+,East,2023-11-07,Digital
C100191,26-40,26-40,West,2023-09-04,Digital
C100192,18-25,18-25,North,2022-11-27,CallCenter
C100193,41-55,41-55,West,2023-07-22,ATM
C100194,18-25,18-25,West,2023-03-20,Digital
C100195,18-25,18-25,South,2021-08-06,Branch
C100196,26-40,26-40,South,2022-11-11,Branch
C100197,56+,56+,South,2023-01-04,Digital
C100198,18-25,18-25,South,2020-07-21,Digital
C100199,26-40,26-40,South,2023-08-27,Digital
C100200,41-55,41-55,North,2021-12-21,Digital
C100201,56+,56+,West,2021-04-02,Branch
C100202,26-40,26-40,South,2021-11-23,Digital
C100203,18-25,18-25,South,2021-04-25,Branch
C100204,18-25,18-25,South,2021-04-30,Branch
C100205,26-40,26-40,South,2022-03-08,Branch
C100206,18-25,18-25,South,2023-12-28,CallCenter
C100207,41-55,41-55,South,2021-08-19,Digital
C100208,18-25,18-25,East,2020-11-09,Branch
C100209,26-40,26-40,West,2023-01-17,Digital
C100210,41-55,41-55,South,2021-03-06,Branch
C100211,26-40,26-40,West,2022-02-23,Branch
C100212,18-25,18-25,East,2021-01-05,Digital
C100213,41-55,41-55,South,2020-11-05,Digital
C100214,41-55,41-55,South,2021-01-03,Branch
C100215,41-55,41-55,North,2021-06-04,Branch
C100216,18-25,18-25,West,2023-10-28,Branch
C100217,18-25,18-25,South,2022-09-07,Digital
C100218,56+,56+,South,2022-10-13,Branch
C100219,26-40,26-40,East,2020-03-19,Branch
C100220,26-40,26-40,South,2020-01-16,Digital
C100221,26-40,26-40,East,2021-05-14,Branch
C100222,41-55,41-55,South,2023-07-20,Branch
C100223,56+,56+,West,2020-01-24,ATM
C100224,26-40,26-40,South,2023-01-24,Digital
C100225,56+,56+,North,2023-04-14,Digital
C100226,18-25,18-25,East,2021-02-09,CallCenter
C100227,26-40,26-40,North,2020-06-20,ATM
C100228,41-55,41-55,West,2020-08-12,Digital
C100229,18-25,18-25,East,2020-04-22,CallCenter
C100230,18-25,18-25,South,2023-05-17,Digital
C100231,26-40,26-40,South,2023-02-23,ATM
C100232,56+,56+,West,2022-09-09,Digital
C100233,26-40,26-40,South,2020-05-10,Digital
C100234,56+,56+,West,2023-10-20,CallCenter
C100235,41-55,41-55,North,2022-09-26,Digital
C100236,26-40,26-40,West,2023-04-24,ATM
C100237,41-55,41-55,South,2021-07-08,Digital
C100238,18-25,18-25,East,2020-10-15,Digital
C100239,18-25,18-25,South,2023-04-15,CallCenter
C100240,41-55,41-55,North,2020-03-16,Branch
C100241,41-55,41-55,West,2020-09-24,ATM
C100242,26-40,26-40,West,2020-08-12,ATM
C100243,26-40,26-40,South,2020-05-03,Digital
C100244,41-55,41-55,West,2022-03-16,Digital
C100245,56+,56+,North,2020-11-29,Digital
C100246,41-55,41-55,North,2023-11-12,Branch
C100247,26-40,26-40,North,2023-09-23,Digital
C100248,26-40,26-40,South,2020-09-03,Digital
C100249,26-40,26-40,North,2023-04-26,ATM
C100250,41-55,41-55,South,2020-02-27,Digital
C100251,56+,56+,North,2021-02-21,Branch
C100252,26-40,26-40,East,2022-08-22,Digital
C100253,26-40,26-40,West,2020-10-28,Digital
C100254,26-40,26-40,East,2020-04-23,Digital
C100255,41-55,41-55,South,2020-08-17,Digital
C100256,41-55,41-55,East,2022-08-20,Branch
C100257,18-25,18-25,South,2020-11-19,Digital
C100258,18-25,18-25,East,2020-12-25,ATM
C100259,26-40,26-40,South,2020-10-26,ATM
C100260,18-25,18-25,South,2023-07-12,Digital
C100261,41-55,41-55,North,2023-07-21,ATM
C100262,26-40,26-40,West,2023-03-22,CallCenter
C100263,18-25,18-25,West,2020-01-30,Digital
C100264,56+,56+,East,2021-01-01,CallCenter
C100265,18-25,18-25,West,2023-07-09,Digital
C100266,26-40,26-40,West,2022-03-20,Branch
C100267,18-25,18-25,South,2020-03-01,Digital
C100268,18-25,18-25,East,2020-12-29,ATM
C100269,18-25,18-25,South,2023-04-23,ATM
C100270,18-25,18-25,South,2023-07-08,CallCenter
C100271,18-25,18-25,North,2021-09-14,CallCenter
C100272,18-25,18-25,West,2020-08-09,Digital
C100273,26-40,26-40,East,2020-04-22,Branch
C100274,41-55,41-55,South,2020-11-25,Digital
C100275,26-40,26-40,South,2023-03-13,Digital
C100276,26-40,26-40,South,2023-04-22,Digital
C100277,26-40,26-40,East,2021-01-09,CallCenter
C100278,56+,56+,West,2023-11-28,Branch
C100279,56+,56+,South,2023-07-06,Digital
C100280,18-25,18-25,South,2023-12-13,CallCenter
C100281,18-25,18-25,South,2023-01-04,ATM
C100282,26-40,26-40,South,2022-04-17,Digital
C100283,26-40,26-40,South,2023-12-05,Digital
C100284,26-40,26-40,North,2022-10-03,Branch
C100285,26-40,26-40,North,2023-04-30,Branch
C100286,18-25,18-25,South,2021-08-11,Digital
C100287,26-40,26-40,West,2020-12-18,Branch
C100288,26-40,26-40,South,2022-04-17,Digital
C100289,18-25,18-25,South,2021-08-20,Branch
C100290,41-55,41-55,East,2021-05-27,Digital
C100291,18-25,18-25,West,2022-10-14,Digital
C100292,56+,56+,South,2022-06-11,Digital
C100293,18-25,18-25,North,2021-04-06,Branch
C100294,41-55,41-55,East,2020-12-18,Digital
C100295,56+,56+,South,2022-03-09,Digital
C100296,56+,56+,East,2021-04-22,Digital
C100297,41-55,41-55,South,2020-12-13,CallCenter
C100298,41-55,41-55,North,2020-11-20,Digital
C100299,41-55,41-55,South,2022-08-26,Digital
C100300,41-55,41-55,East,2021-08-29,Digital
C100301,18-25,18-25,South,2021-05-14,Branch
C100302,26-40,26-40,South,2020-06-17,Digital
C100303,26-40,26-40,South,2020-03-21,Digital
C100304,56+,56+,East,2022-10-12,ATM
C100305,26-40,26-40,North,2023-11-14,ATM
C100306,26-40,26-40,East,2021-04-19,Branch
C100307,41-55,41-55,East,2023-05-17,Digital
C100308,26-40,26-40,South,2022-05-28,CallCenter
C100309,18-25,18-25,West,2021-03-19,CallCenter
C100310,26-40,26-40,West,2022-04-08,Branch
C100311,26-40,26-40,South,2020-07-08,ATM
C100312,26-40,26-40,North,2021-05-08,ATM
C100313,26-40,26-40,South,2022-12-10,CallCenter
C100314,26-40,26-40,South,2023-05-28,Digital
C100315,26-40,26-40,South,2020-11-18,CallCenter
C100316,26-40,26-40,West,2023-08-23,Branch
C100317,41-55,41-55,West,2022-06-03,Branch
C100318,26-40,26-40,South,2020-11-30,Digital
C100319,56+,56+,South,2023-02-12,Digital
C100320,56+,56+,North,2023-07-11,ATM
C100321,26-40,26-40,South,2021-02-02,Branch
C100322,26-40,26-40,North,2020-06-03,Digital
C100323,26-40,26-40,West,2021-02-19,Branch
C100324,41-55,41-55,West,2023-01-10,Digital
C100325,41-55,41-55,South,2020-03-31,Digital
C100326,41-55,41-55,East,2021-02-26,Branch
C100327,26-40,26-40,South,2021-04-12,Branch
C100328,41-55,41-55,East,2020-01-25,Digital
C100329,26-40,26-40,South,2022-05-22,Digital
C100330,41-55,41-55,South,2023-03-23,Digital
C100331,18-25,18-25,East,2020-08-15,Branch
C100332,41-55,41-55,North,2023-07-19,CallCenter
C100333,56+,56+,South,2023-10-24,ATM
C100334,18-25,18-25,South,2023-06-26,Branch
C100335,41-55,41-55,East,2022-11-21,Digital
C100336,18-25,18-25,West,2021-10-16,Digital
C100337,41-55,41-55,North,2020-10-24,ATM
C100338,18-25,18-25,South,2023-08-26,Branch
C100339,56+,56+,East,2022-02-14,Digital
C100340,18-25,18-25,North,2021-10-22,Branch
C100341,56+,56+,South,2021-07-25,Branch
C100342,41-55,41-55,East,2020-11-14,Digital
C100343,26-40,26-40,South,2021-07-12,Digital
C100344,41-55,41-55,West,2023-03-12,Branch
C100345,41-55,41-55,South,2022-03-29,Digital
C100346,56+,56+,South,2021-07-31,Digital
C100347,26-40,26-40,North,2020-06-07,ATM
C100348,26-40,26-40,North,2021-08-29,CallCenter
C100349,18-25,18-25,North,2020-11-10,Digital
C100350,41-55,41-55,West,2021-08-04,Digital
C100351,18-25,18-25,West,2020-08-06,Digital
C100352,26-40,26-40,East,2023-10-16,Digital
C100353,26-40,26-40,South,2020-09-11,ATM
C100354,26-40,26-40,South,2020-06-30,Branch
C100355,26-40,26-40,East,2022-08-15,Digital
C100356,41-55,41-55,East,2021-05-17,ATM
C100357,41-55,41-55,North,2023-12-26,Digital
C100358,26-40,26-40,West,2021-08-13,Branch
C100359,26-40,26-40,North,2022-08-09,CallCenter
C100360,56+,56+,North,2023-05-03,Digital
C100361,18-25,18-25,West,2023-12-09,Digital
C100362,18-25,18-25,South,2023-03-28,ATM
C100363,18-25,18-25,South,2022-04-23,Digital
C100364,41-55,41-55,South,2023-04-04,Digital
C100365,26-40,26-40,West,2021-02-17,Digital
C100366,41-55,41-55,North,2023-06-25,Digital
C100367,41-55,41-55,East,2023-06-28,Branch
C100368,26-40,26-40,South,2021-07-14,Digital
C100369,56+,56+,North,2020-04-08,Digital
C100370,41-55,41-55,South,2022-09-27,Digital
C100371,26-40,26-40,South,2020-05-29,Branch
C100372,26-40,26-40,South,2020-01-26,ATM
C100373,26-40,26-40,South,2023-10-16,Branch
C100374,18-25,18-25,East,2022-04-09,Branch
C100375,18-25,18-25,South,2022-08-07,ATM
C100376,56+,56+,East,2023-07-10,Digital
C100377,26-40,26-40,West,2023-09-19,Digital
C100378,26-40,26-40,South,2023-10-29,Digital
C100379,41-55,41-55,South,2020-07-13,Digital
C100380,26-40,26-40,South,2021-04-18,CallCenter
C100381,56+,56+,South,2023-01-27,Digital
C100382,41-55,41-55,North,2020-02-12,ATM
C100383,26-40,26-40,South,2020-12-09,Digital
C100384,26-40,26-40,North,2022-01-22,Digital
C100385,56+,56+,South,2021-05-16,Digital
C100386,41-55,41-55,West,2020-09-09,Digital
C100387,56+,56+,South,2023-08-06,Digital
C100388,18-25,18-25,South,2021-10-16,Branch
C100389,56+,56+,South,2021-08-23,Digital
C100390,41-55,41-55,East,2022-08-18,ATM
C100391,18-25,18-25,South,2022-09-06,CallCenter
C100392,26-40,26-40,South,2021-12-20,Digital
C100393,41-55,41-55,East,2023-07-20,CallCenter
C100394,18-25,18-25,North,2021-03-08,Digital
C100395,26-40,26-40,South,2023-06-26,Digital
C100396,41-55,41-55,South,2023-06-22,Digital
C100397,26-40,26-40,East,2020-01-14,Branch
C100398,26-40,26-40,West,2023-01-07,Branch
C100399,26-40,26-40,East,2020-08-19,Branch
C100400,26-40,26-40,South,2021-12-10,ATM
C100401,56+,56+,North,2023-09-04,Digital
C100402,41-55,41-55,South,2020-10-12,ATM
C100403,18-25,18-25,West,2022-04-01,Branch
C100404,56+,56+,West,2023-02-10,Digital
C100405,56+,56+,West,2021-12-02,Digital
C100406,26-40,26-40,South,2020-04-24,Digital
C100407,41-55,41-55,East,2020-04-05,Digital
C100408,18-25,18-25,West,2022-01-26,ATM
C100409,56+,56+,East,2020-02-06,Digital
C100410,41-55,41-55,East,2020-01-23,Digital
C100411,41-55,41-55,South,2023-10-24,ATM
C100412,18-25,18-25,East,2022-02-17,Branch
C100413,56+,56+,South,2021-11-23,CallCenter
C100414,18-25,18-25,North,2020-05-26,Branch
C100415,26-40,26-40,West,2023-02-22,Branch
C100416,18-25,18-25,West,2022-01-15,Digital
C100417,41-55,41-55,West,2020-11-17,Branch
C100418,18-25,18-25,South,2023-01-04,Digital
C100419,56+,56+,North,2020-12-12,Digital
C100420,41-55,41-55,South,2022-01-05,CallCenter
C100421,18-25,18-25,West,2022-03-29,Branch
C100422,18-25,18-25,East,2021-02-11,Branch
C100423,18-25,18-25,West,2023-07-03,Digital
C100424,41-55,41-55,South,2022-10-24,Branch
C100425,41-55,41-55,South,2021-02-25,Digital
C100426,26-40,26-40,East,2020-08-16,Digital
C100427,41-55,41-55,South,2021-04-25,Digital
C100428,18-25,18-25,West,2021-11-10,Digital
C100429,41-55,41-55,South,2022-03-15,Digital
C100430,56+,56+,North,2021-08-07,ATM
C100431,41-55,41-55,North,2020-02-28,Digital
C100432,41-55,41-55,West,2022-09-14,ATM
C100433,41-55,41-55,East,2021-07-07,CallCenter
C100434,18-25,18-25,East,2021-05-05,Digital
C100435,18-25,18-25,East,2022-03-23,Branch
C100436,18-25,18-25,South,2023-05-05,Digital
C100437,26-40,26-40,East,2020-01-08,CallCenter
C100438,41-55,41-55,West,2023-11-04,Digital
C100439,41-55,41-55,North,2022-07-21,Digital
C100440,56+,56+,East,2022-03-09,Digital
C100441,18-25,18-25,South,2020-03-15,CallCenter
C100442,41-55,41-55,South,2022-11-05,Digital
C100443,18-25,18-25,South,2022-11-17,ATM
C100444,26-40,26-40,West,2022-03-29,Digital
C100445,41-55,41-55,North,2023-03-17,Branch
C100446,56+,56+,South,2023-05-10,Digital
C100447,41-55,41-55,East,2023-05-10,Digital
C100448,18-25,18-25,North,2021-04-22,Digital
C100449,41-55,41-55,East,2022-09-10,Digital
C100450,18-25,18-25,West,2020-03-24,ATM
C100451,56+,56+,North,2022-03-31,Branch
C100452,41-55,41-55,North,2020-08-01,Digital
C100453,18-25,18-25,West,2021-03-25,Digital
C100454,18-25,18-25,South,2022-09-15,Digital
C100455,18-25,18-25,North,2021-09-12,Branch
C100456,56+,56+,West,2023-06-15,ATM
C100457,26-40,26-40,West,2020-05-07,ATM
C100458,41-55,41-55,East,2023-11-20,ATM
C100459,41-55,41-55,South,2022-10-30,Digital
C100460,26-40,26-40,West,2021-09-20,Digital
C100461,18-25,18-25,East,2020-02-06,ATM
C100462,56+,56+,East,2020-03-02,Digital
C100463,26-40,26-40,West,2021-08-27,Digital
C100464,26-40,26-40,East,2022-04-16,Digital
C100465,41-55,41-55,South,2022-01-09,ATM
C100466,41-55,41-55,South,2021-03-10,Branch
C100467,56+,56+,South,2022-08-07,CallCenter
C100468,18-25,18-25,South,2022-06-16,Digital
C100469,26-40,26-40,South,2021-05-16,Digital
C100470,26-40,26-40,South,2021-04-20,Digital
C100471,26-40,26-40,East,2021-10-08,ATM
C100472,18-25,18-25,South,2022-12-21,Digital
C100473,18-25,18-25,North,2022-05-08,CallCenter
C100474,26-40,26-40,South,2020-07-04,Branch
C100475,26-40,26-40,South,2023-09-10,ATM
C100476,26-40,26-40,East,2020-10-22,ATM
C100477,41-55,41-55,South,2022-09-08,Digital
C100478,41-55,41-55,South,2020-01-25,Branch
C100479,26-40,26-40,East,2021-01-06,Digital
C100480,26-40,26-40,North,2022-04-05,ATM
C100481,18-25,18-25,North,2023-05-22,ATM
C100482,26-40,26-40,West,2022-04-02,Branch
C100483,26-40,26-40,South,2020-03-21,Digital
C100484,18-25,18-25,East,2023-10-28,CallCenter
C100485,26-40,26-40,West,2021-02-01,CallCenter
C100486,26-40,26-40,West,2021-06-16,Branch
C100487,26-40,26-40,North,2020-06-07,CallCenter
C100488,26-40,26-40,East,2022-10-14,Branch
C100489,26-40,26-40,East,2021-10-15,Digital
C100490,41-55,41-55,South,2020-11-16,Digital
C100491,41-55,41-55,West,2022-07-19,Digital
C100492,41-55,41-55,South,2020-10-13,Branch
C100493,26-40,26-40,West,2022-02-14,Branch
C100494,41-55,41-55,South,2022-08-27,Digital
C100495,26-40,26-40,South,2023-03-31,Digital
C100496,26-40,26-40,North,2022-10-12,Branch
C100497,41-55,41-55,West,2022-04-09,ATM
C100498,26-40,26-40,South,2020-02-19,CallCenter
C100499,26-40,26-40,North,2020-12-05,Digital
C100500,41-55,41-55,North,2022-04-24,ATM
C100501,56+,56+,East,2022-02-22,Digital
C100502,56+,56+,North,2022-02-18,Digital
C100503,26-40,26-40,South,2022-12-10,Branch
C100504,26-40,26-40,East,2023-08-15,Digital
C100505,41-55,41-55,South,2022-01-04,ATM
C100506,26-40,26-40,South,2020-07-15,Digital
C100507,41-55,41-55,South,2021-10-07,Digital
C100508,26-40,26-40,West,2021-01-04,Branch
C100509,18-25,18-25,West,2022-02-12,Digital
C100510,18-25,18-25,South,2022-05-11,Digital
C100511,41-55,41-55,South,2022-03-11,Digital
C100512,18-25,18-25,South,2022-04-29,Digital
C100513,26-40,26-40,West,2021-03-29,ATM
C100514,26-40,26-40,South,2020-09-15,Digital
C100515,18-25,18-25,South,2023-06-02,Branch
C100516,26-40,26-40,West,2021-08-09,Branch
C100517,41-55,41-55,North,2020-10-30,Branch
C100518,18-25,18-25,South,2023-12-25,Digital
C100519,41-55,41-55,North,2020-02-17,Branch
C100520,56+,56+,South,2021-05-21,ATM
C100521,26-40,26-40,South,2022-12-19,Digital
C100522,18-25,18-25,West,2021-08-23,ATM
C100523,41-55,41-55,South,2023-05-15,Digital
C100524,18-25,18-25,North,2021-06-08,Digital
C100525,26-40,26-40,West,2022-07-28,Branch
C100526,56+,56+,West,2021-09-16,Digital
C100527,56+,56+,East,2021-11-16,Digital
C100528,41-55,41-55,East,2021-12-28,Digital
C100529,26-40,26-40,South,2023-11-25,Digital
C100530,41-55,41-55,East,2023-01-15,Branch
C100531,41-55,41-55,North,2021-06-25,Digital
C100532,26-40,26-40,South,2021-08-31,ATM
C100533,41-55,41-55,West,2021-08-16,ATM
C100534,18-25,18-25,East,2022-12-11,Digital
C100535,18-25,18-25,South,2022-05-13,Digital
C100536,26-40,26-40,North,2022-02-19,Digital
C100537,18-25,18-25,West,2021-09-20,ATM
C100538,18-25,18-25,North,2021-08-05,Digital
C100539,41-55,41-55,South,2022-03-22,Digital
C100540,56+,56+,South,2023-04-29,CallCenter
C100541,26-40,26-40,North,2023-11-13,Digital
C100542,41-55,41-55,South,2020-03-30,Digital
C100543,56+,56+,West,2020-12-12,ATM
C100544,18-25,18-25,South,2022-09-28,CallCenter
C100545,26-40,26-40,South,2020-08-05,Digital
C100546,26-40,26-40,East,2022-06-10,Digital
C100547,18-25,18-25,South,2021-09-10,Digital
C100548,41-55,41-55,East,2020-10-05,Digital
C100549,26-40,26-40,East,2022-01-06,Digital
C100550,26-40,26-40,South,2022-01-13,Digital
C100551,18-25,18-25,East,2022-11-07,Branch
C100552,18-25,18-25,East,2023-04-21,ATM
C100553,56+,56+,East,2023-10-27,CallCenter
C100554,18-25,18-25,East,2021-10-03,ATM
C100555,26-40,26-40,North,2022-10-03,Digital
C100556,26-40,26-40,East,2023-02-24,Digital
C100557,26-40,26-40,East,2023-12-13,Branch
